prompt,response
地球的自转周期是多久？,大约24小时
人类的基本单位是什么？,人类
太阳系中最大的行星是哪颗？,木星
月亮是围绕地球还是围绕太阳运转的？,围绕地球
水的化学式是什么？,H2O
世界上最高的山是哪座？,珠穆朗玛峰
哪个国家拥有世界上最多的人口？,中国
DNA的全称是什么？,脱氧核糖核酸
香蕉属于哪个植物家族？,蕉科
人体最大的器官是什么？,皮肤
大气中最丰富的气体是什么？,氮气
太阳的能量主要是通过什么方式传播到地球上的？,辐射
地球上最大的洲是什么？,亚洲
水的冰态在摄氏多少度开始融化？,0度
化学元素周期表中第一位的元素是什么？,氢
世界上最长的河流是哪条？,亚马逊河
第一个进入太空的人是谁？,尤里·加加林
地球的大气分层中，最靠近地表的是什么？,对流层
阿拉伯数字是源自哪个文化？,印度文化
青蛙属于哪一类动物？,两栖动物
金属铁的化学符号是什么？,Fe
世界上最大的洋是什么？,太平洋
植物进行光合作用的主要部位是什么？,叶绿体
氧气的化学符号是什么？,O2
地球上最高的温度记录是多少？,摄氏56.7度（利比亚沙漠）
首都位于两大洲之间的国家是哪个？,土耳其
人体最硬的物质是什么？,牙齿
化学反应中质量守恒的法则是由谁提出的？,拉瓦锡
地球上最深的海是什么？,马里亚纳海沟
阳光由哪个方向升起？,东方
著名的相对论理论是由哪位科学家提出的？,爱因斯坦
水的沸点是多少度？,100度
地球上最大的湖泊是什么？,里海
人体最重要的有机物质是什么？,蛋白质
化学中PH值用来表示什么？,酸碱度
第一个登上月球的人是谁？,尼尔·阿姆斯特朗
地球上最深的峡谷是什么？,亚马逊河峡谷
树木的主要成分是什么？,纤维素
世界上最大的岛屿是什么？,格陵兰岛
水星是太阳系中最靠近太阳的行星吗？,是
壳牌公司是哪个国家的石油公司？,荷兰
美国的国旗星条旗上有多少颗星？,50颗
动力电池的主要材料是什么？,锂离子
银行卡上的CVV是指什么？,卡背面的安全码
人类的DNA中有多少个染色体？,46个
人体最大的器官是什么？,皮肤
地球上最大的海是什么？,菲律宾海
雷达是用来检测什么的？,物体的位置和速度
地球上最高的瀑布是什么？,安赫尔瀑布
世界上最长的河流是什么？,尼罗河
地球上最大的岛屿是什么？,格陵兰岛
什么是黑洞？,质量极大、体积极小的天体
哪个星座代表水瓶座？,宝瓶座
月球上有大气层吗？,没有
蜘蛛是昆虫吗？,不是，属于蛛形纲
什么是全球变暖？,地球气温升高的趋势
蓝鲸是世界上最大的哪类动物？,哺乳动物
什么是人类基因组计划？,破解人类基因密码的计划
地球上最高的山峰是什么？,珠穆朗玛峰
金字塔是哪个国家的代表性建筑？,埃及
什么是太阳黑子？,太阳表面的黑暗区域
马拉松比赛的起源与哪位传说人物有关？,希腊的飞信传说
火星的表面有何特征？,红色岩石和沙漠
草原上的“故乡之鸟”指的是什么动物？,燕子
什么是人类学？,研究人类的学科
什么是濒危物种？,面临灭绝风险的物种
地球的年龄约为多少亿年？,约46亿年
阿拉伯数字是从哪个文化传入的？,印度文化
什么是RNA？,核糖核酸
什么是社交网络？,在线平台上用户之间的社交关系
世界上最大的大熊猫基地在哪里？,中国四川省
什么是贝尔试验？,检验空气中是否存在电荷的实验
什么是人工智能？,模拟人类智能的计算机系统
哪个星座代表双鱼座？,双鱼座
世界上最长的河流是什么？,亚马逊河
哪个国家以“千岛之国”著称？,印度尼西亚
什么是量子力学？,研究微观领域的物理学
人体最大的器官是什么？,皮肤
什么是网络中立性？,网络服务商平等对待所有数据
世界上最大的瀑布是什么？,安赫尔瀑布
什么是基因工程？,利用基因技术改变生物遗传信息
什么是太阳系的八大行星？,水金火地木土天王土
面纱舞是哪个国家的传统舞蹈？,印度
什么是核裂变和核聚变？,核反应过程
世界上最大的沙漠是什么？,撒哈拉沙漠
什么是DNA复制？,在细胞分裂时复制DNA
